Group,Crop Name,Variety Name,Pack Shots,English,Marathi,Hindi,Remark
Cotton,Cotton,Cotton,,"Salient features of Hybrid Cotton Kartik GBCH-9999 BG II
Crop Period: 145 - 155 Day
Boll Shape : Round and Big Size
Boll weight: 5-5.5 gm
Both for Irrigated condition and Rainfed condition with heavy soils
Tolerance against Sucking Pest and other Diesease.
Staple Length 28.0 - 29 mm
Plant Height 4 - 5 ft.
Tolerance for Red leaf disease
Early Flowing boll development & Boll Bursting with good picking ability","संकरीत कापूस कार्तिक जीबीसीएच-९९९९ बीजी - II ची वैशिष्टये
 अनेक वर्षांच्या संशोधन आणि विकासातून
 • लाल्या रोगास सहनशील
 • 100 दिवसात 100 बोन्डे
 • वेचणीस सोपा व वजनदार कापुस
 • कोरड व ओलीतास योग्य
 • पिकाचा कालावधी - १४५ ते १५५ दिवस
 • बोंडाचा आकार - गोलाकार व मोठे
 • बोंडाचे वजन - ५ ते ५.५ ग्रॅम
 • रसशोषक किड व रोगास सहनशील
 • धाग्याची लांबी - २८.० ते २९ मि.मि.
 • झाडांची ऊंची - ४ ते ५ फुट
 • बागायती व जिरायतीस अनुकुल","  संकर कपास कार्तिक जीबीसीएच-९९९९ बीजी-II की प्रमुख विशेषताएँ
 • फसल की अवधि : १४५ से १५५ दिन
 • डेंन्डू का आकार : गोल व बडा
 • डेन्डू का वजन : ५ से ५.५ ग्राम
 • रसचुसक कीटों के प्रति अधिक सहनशील
 • धागे की लम्बाई : २८.० से २९ मि.मि.
 • पौधे की उंचाई : ४ से ५ फिट
 • सिंचीत और असिंचती खेती के लिए अनुकूल
 • ""लाल्या"" के प्रति अधिक सहनशिल
 • जल्द से फूल और डेंडूये पक जाते है । कपास चुनने के लिए सिधी और सरल",
Cotton,Cotton,"GBCH-95 BG-II
 (GOLD ASHOKA)",,"Salient features of Hybrid Cotton GBCH-95 BG II (Gold Ashoka):
• Crop Period: 150 - 160 Day
• Boll Shape: Ovate Round
• Boll weight: 5.0 - 6.0 gm
• Both for Irrigated condition and Rainfed condition with heavy soils
• Staple Length 30.0 - 31.0 mm
• Plant Height 5 - 6 ft.
• Tolerance for Red leaf disease","संकरीत कापूस जीबीसीएच-९५ बीजी - II गोल्ड अशोका ची वैशिष्टये
 • पिकाचा कालावधी - १५० ते १६० दिवस
 • बोंडाचा आकार - लांबड गोलाकार व मोठे
 • बोंडाचे वजन - ५.० ते ६.० ग्रॅम
 • धाग्याची लांबी - ३०.० ते ३१.० मि.मि.
 • झाडांची ऊंची - ५ ते ६ फुट
 • बागायती व जिरायतीस अनुकुल","संकर कपास जीबीसीएच-९५ बीजी-II(गोल्ड अशोका) की प्रमुख विशेषताएँ
 • फसल की अवधि : १५० से १६० दिन
 • डेंन्डू का आकार : लंबा गोलाकार व बडा
 • डेन्डू का वजन : ५.० से ६.० ग्राम
 • धागे की लम्बाई : ३०.० से ३१.० मि.मि.
 • पौधे की उंचाई : ५ से ६ फिट
 • सिंचीत और असिंचती खेती के लिए अनुकूल",
Cotton,Cotton,"GOLD KUBER
 GBCH-85 BG-II",,"Salient features of Hybrid Cotton GBCH-85 BG II (Gold Kuber) 
• Crop Period: 145 - 150 Day
• Boll Shape : Round and Medi Big
• Ball weight: 4.5 - 5.5 gm
• Both for Irrigated condition and Rainfed condition with heavy soils
• Tolerance against Sucking Pest and other Diesease.
• Staple Length 27.0 - 28.0 mm
• Plant Height 4 - 5 ft.
• Tolerance for Reddening","संकरीत कापूस जीबीसीएच-८५ बीजी - II गोल्ड कुबेर ची वैशिष्टये
 • पिकाचा कालावधी - १४५ ते १५० दिवस
 • बोंडाचा आकार - गोलाकार व मध्यम
 • बोंडाचे वजन - ४.५ ते ५.५ ग्रॅम
 • रसशोषक किड व रोगास सहनशील
 • धाग्याची लांबी - २७.० ते २८.० मि.मि.
 • झाडांची ऊंची - ४ ते ५ फुट
 • बागायती व जिरायतीस अनुकुल
 • लाल्या रोगास सहनशील","संकर कपास जीबीसीएच-८५ बीजी-II (गोल्ड कुबेर) की प्रमुख विशेषताएँ
 • फसल की अवधि : १४५ से १५० दिन
 • डेंन्डू का आकार : गोल व मध्यम
 • डेन्डू का वजन : ४.५ से ५.५ ग्राम
 • रसचूसक कीटों के प्रति अधिक सहनशील
 • धागे की लम्बाई : २७.० से २८.० मि.मि.
 • पौधे की उंचाई : ४ से ५ फिट
 • सिंचीत और असिंचती खेती के लिए अनुकूल
 • ""लाल्या"" के प्रति अधिक सहनशिल",
Cotton,Cotton,"GBCH-95 BG-II
 DHAMAK",,"Salient features of Hybrid Cotton GBCH-95 BG II (Gold Dhamak):
• Crop Period: 150 - 160 Day
• Boll Shape: Med-Round and big Boll
• Boll weight : 6.2-6.4 gm
• Staple Length 29.0 - 30.0 mm
• Plant Height 5 - 6 ft.
• Tolerance for Reddening
• Both for Irrigated condition and Rainfed condition with heavy soils
• Tolerance against Sucking Pest and other Diesease.","संकरीत कापूस जीबीसीएच- बीजी-९५ ॥ गोल्ड धमक ची वैशिष्टये
 • पिकाचा कालावधी - १५० ते १६० दिवस
 • धाग्याची लांबी - २९.० ते ३०.० मि.मि.
 • बोंडाचा आकार - मध्यम लांब, गोलसर आणि मोठा
 • झाडांची ऊंची - ५ते ६ फुट
 • बोंडाचे वजन - ६.२ ते ६.४ ग्रॅम
 • रसशोषक किड व रोगास सहनशील
 • बागायती व जिरायतीस अनुकुल
 • लाल्या रोगास सहनशील","संकर कपास जीबीसीएच-९५ बीजी - II(गोल्ड धमक) की प्रमुख विशेषताएँ
 • फसल की अवधि : १५० से १६० दिन
 • डेंन्डू का आकार : मध्यम लंबा, गोलाकार और बड़ा
 • डेन्डू का वजन : ६.२ से ६.४ ग्राम
 • रसचुसक कीटों के प्रति अधिक सहनशील
 • धागे की लम्बाई : २९.० से ३०.० मि.मि.
 • पौधे की उंचाई : ५ से ६ फिट
 • सिंचीत और असिंचती खेती के लिए अनुकूल
 • ""लाल्या"" के प्रति अधिक सहनशिल",
Cotton,Cotton,"GOLD KAVITA
 GBCH-90 BG-II",,"Salient features of Hybrid Cotton GBCH-90 BG II (Gold Kavita) 
• Crop Period: 170 - 200 Day
• Boll Shape : Elongated
• Boll weight: 3.0 - 4.0 gm
• Recommended for Irrigated condition
• Tolerance against Sucking Pest and other Diesease.
• Staple Length 36.0 - 37.0 mm
• Plant Height 5 - 6 ft.
• Tolerance for Red leaf disease","संकरीत कापूस जीबीसीएच-९० बीजी - II गोल्ड कविता ची वैशिष्टये
 • पिकाचा कालावधी - १७० ते २०० दिवस
 • बोंडाचा आकार - लांबट बोंड
 • बोंडाचे वजन - ३.० ते ४.० ग्रॅम
 • रसशोषक किड व रोगास सहनशील
 • धाग्याची लांबी - ३६.० ते ३७.० मि.मि.
 • झाडांची ऊंची - ५ ते ६ फुट
 • बागायती लागवडीस शिफारीश
 • लाल्या रोगास सहनशील","संकर कपास जीबीसीएच-९० बीजी-II (गोल्ड कविता) की प्रमुख विशेषताएँ
 • फसल की अवधि : १७० से २०० दिन
 • डेंन्डू का आकार : लंबा व बडा
 • डेन्डू का वजन : ३.० से ४.० ग्राम
 • रसचूसक कीटों के प्रति अधिक सहनशील
 • धागे की लम्बाई : ३६.० से ३७.० मि.मि.
 • पौधे की उंचाई : ५ से ६ फिट
 • सिंचीत खेती के लिए शिफारिश
 • ""लाल्या"" के प्रति अधिक सहनशिल",
Cotton,Cotton,"GBCH-8888 BG-II
 GOLD VITTHAL",,"Salient features of Hybrid Cotton GBCH-8888 BG II (Gold Vitthal) 
• Crop Period: 150 - 160 Day
• Staple Length 29.0 - 30.0 mm
• Boll Shape: Ovale and Medi Big
• Plant Height 5 - 6 ft.
• Boll weight: 5.0 - 5.5 gm
• Tolerance for Reading
• Both for Irrigated condition and Rainfed condition with heavy soils
• Tolerance against Sucking Pest and other Diesease.","संकरीत कापूस जीबीसीएच-८८८८ बीजी - II गोल्ड विठठ्ठल ची वैशिष्टये
 • पिकाचा कालावधी - १५० ते १६० दिवस
 • बोंडाचा आकार - लांबट गोलाकार व मोठे
 • बोंडाचे वजन - ५.० ते ५.५ ग्रॅम
 • रसशोषक किड व रोगास सहनशील
 • धाग्याची लांबी - २९.० ते ३०.० मि.मि.
 • झाडांची ऊंची - ५ते ६ फुट
 • बागायती व जिरायतीस अनुकुल
 • लाल्या रोगास सहनशील","संकर कपास जीबीसीएच-८८८८ बीजी - II (गोल्ड विठ्ठल) की प्रमुख विशेषताएँ
 • फसल की अवधि : १५० से १६० दिन
 • डेंन्डू का आकार : लंबा गोलाकार व बडा
 • डेंन्डू का वजन : ५.० से ५.५ ग्राम
 • रसचूसक कीटों के प्रति अधिक सहनशील
 • धागे की लम्बाई : २९.० से ३०.० मि.मि.
 • पौधे की उंचाई : ५ से ६ फिट
 • सिंचीत और असिंचती खेती के लिए अनुकूल
 • ""लाल्या"" के प्रति अधिक सहनशिल",
Cotton,Cotton,"GBCH-85 BG-II
 GOLD KARTIKEY",,"Salient features of Hybrid Cotton GBCH-85 BG-II
• Crop Period: 145 - 155 Day
• Boll Shape: Round and Big Size
• Boll weight: 5-5.5 gm
• Both for Irrigated condition and Rainfed condition with heavy soils
• Tolerance against Sucking Pest and other Diesease.
• Staple Length 28.0 - 29 mm
• Plant Height 4 - 5 ft.
• Tolerance for Red leaf disease
• Early Flowing boll development &
• Boll Bursting with good picking ability","संकरीत कापूस कार्तिकेय जीबीसीएच-८५ बीजी - II ची वैशिष्टये
 • पिकाचा कालावधी - १४५ ते १५५ दिवस
 • बोंडाचा आकार - गोलाकार व मोठे
 • बोंडाचे वजन - ५ ते ५.५ ग्रॅम
 • रसशोषक किड व रोगास सहनशील
 • धाग्याची लांबी - २८.० ते २९ मि.मि.
 • झाडांची ऊंची- ४ ते ५ फुट
 • बागायती व जिरायतीस अनुकुल
 • लाल्या रोगास सहनशील","संकर कपास कार्तिकेय जीबीसीएच-८५ बीजी-II की प्रमुख विशेषताएँ
 • फसल की अवधि १४५ से १५५ दिन
 • डेंन्डू का आकार : गोल व बडा
 • डेन्डू का वजन : ५ से ५.५ ग्राम
 • रसचुसक कीटों के प्रति अधिक सहनशील
 • धागे की लम्बाई : २८.० से २९ मि.मि.
 • पौधे की उंचाई: ४ से ५ फिट
 • सिंचीत और असिंचती खेती के लिए अनुकूल
 • ""लाल्या"" के प्रति अधिक सहनशिल
 • जल्द से फुल और डेंडूये पक जाते है। कपास चुनने के लिए सिधी और सरल",
Field Crop,Bajra,Hy. Bajra Gold-27,,"• Salient Features of Hy. Bajra Gold-27
• Duration of the crop : 90 - 95 days
• Plant height: 165-170 cm
• Ear head type : Compactear head
• Grain size and color : Grains are bold and grey in color
• Special features :Natural protections against bird as the ear heads are having bristles. Tolerant to downy mildew disease.","संकरीत बाजरी गोल्ड-२७ वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : ९० ते ९५ दिवस
 • कणीसाचे प्रकार : घट्ट कणीस
 • दाण्याचे आकार व रंगः दाणे टपोरे व राखाडी रंगाचे
 • झाडाची उंची : १६५ ते १७० सें.मी.
 • वैशिष्ट्ये : दोन्ही कणसावर अधिक प्रमाणात केस असल्याने पक्ष्यांपासुन व उपद्रव होत नाही. गोसावी रोगास प्रतिकार सहनशील."," संकर बाजरा गोल्ड-२७ किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : ९० ते ९५ दिवस
 • पौधे की उँचाई : १६५ से १७० सें.मी.
 • भुट्टे का प्रकार : ठोस दान
 • दानो का आकार व रंग : दाने बड़े व धूसर रंग
 • विशेषताएँ : भुट्टोपर अत्यअधिक बाल के कारण पक्षियों से सुरक्षा मिलती है। डाऊनी मिल्डयु फंफुदी रोग के लिए सहनशील.",
Field Crop,Bajra,Hy. Bajra Gold-28,,"Salient Features of Hy. Bajra Gold-28
• Duration of the crop : 85-90 days
• Ear head type : Non bristles, compact ear head
• Grain size and color : Grains are bold and grey in color
• Plant height: 170-180cm
• Special features : Suitable for both, rainy and summer season cultivation. Tolerant to downy mildew disease.","संकरीत बाजरी गोल्ड-२८ वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : ८५ ते ९० दिवस
 • कणीसाचे प्रकार : केस नसलेले घट्ट कणीस
 • झाडाची उंची : १७० ते १८० सें.मी.
 • दाण्याचे आकार व रंग : दाणे टपोरे व राखाडी रंगाचे
 • वैशिष्ट्ये : दोन्ही हंगामासाठी म्हणजे पावसाळी व उन्हाळी हंगामासाठी योग्य. गोसावी (केवडा) रोगास सहनशील","संकर बाजरा गोल्ड-२८ किस्म की प्रमुख विशेषताएँ
 • फसल की अवधि : ८५ ते ९० दिवस
 • पौधे की उँचाई : १७० से १८० सें.मी.
 • भुट्टे का प्रकार : ठोस एंव बाल रहित भुट्टे
 • दानो का आकार व रंग : दाने बड़े व धूसर रंग
 • विशेषताएँ : खरीफ व जायद दोनों मौसम के लिए उपयुक्त, डाऊनी मिल्डयु फंफुदी रोग के लिए सहनशील.",
Field Crop,Gram,Gold-72,,"Salient Features of Bengal Gram Gold-72
• Duration of the Crop : Rainfed : 75 to 80 days, Irrigated- 95 to 100 days
• Seed colour & size : Yellowish white, bold size
• Seed type : Kabuli 
• Plant height & type: Medium and busy errect
• Number of seeds/pod: 1-2
• Tolerance to pest & disease : Tolerant to wilt","हरभरा गोल्ड-७२ (काबुली) वाणाची प्रमुख वैशिष्टे
 • पिकाचा कालावधी : कोरडवाहु : ७५ ते ८० दिवस, बागायत - ९५ ते १०० दिवस
 • दाण्याचा रंग व आकार : पिवळसर पांढरट, मोठा आकार 
 • दाण्याचा प्रकार : काबुली
 • झाडाची उंची व प्रकार : मध्यम व पसरट सरळ वाढणारा
 • घाट्यातील दाण्याची संख्या : १ ते २","चना गोल्ड-७२ (काबुली) किस्म की प्रमुख विशेषताएँ
 • फसल की अवधी : असिंचित : ७५ से ८० दिन, सिंचित - ९५ से १०० दिन
 • दानों का रंग व आकार : सफेद (हल्का पिला), बड़ा आकार 
 • दानों का प्रकार : काबुली
 • पौधे की उंचाई व प्रकार : मध्यम व फैलने वाला, सीधा बढ़नेवाला
 • घेटे की दानों की संख्या : १ से २",
